mpg,cylinders,horsepower,weight,acceleration,model_year,origin
15.5,8,190,4325,12.2,77,usa
16,8,149,4335,14.5,77,usa
29,4,78,1940,14.5,77,europe
24.5,4,88,2740,16,77,usa
26,4,75,2265,18.2,77,japan
25.5,4,89,2755,15.8,77,usa
30.5,4,63,2051,17,77,usa
33.5,4,83,2075,15.9,77,usa
30,4,67,1985,16.4,77,japan
30.5,4,78,2190,14.1,77,europe
21.5,3,110,2720,13.5,77,japan
43.1,4,48,1985,21.5,78,europe
36.1,4,66,1800,14.4,78,usa
32.8,4,52,1985,19.4,78,japan
39.4,4,70,2070,18.6,78,japan
19.9,8,110,3365,15.5,78,usa
19.4,8,140,3735,13.2,78,usa
20.2,8,139,3570,12.8,78,usa
19.2,6,105,3535,19.2,78,usa
20.5,6,95,3155,18.2,78,usa
20.2,6,85,2965,15.8,78,usa
20.5,6,100,3430,17.2,78,usa
19.4,6,90,3210,17.2,78,usa
20.6,6,105,3380,15.8,78,usa
17.5,8,140,4080,13.7,78,usa
30,4,68,2155,16.5,78,usa
27.5,4,95,2560,14.2,78,japan
30.9,4,75,2230,14.5,78,usa
21.1,4,95,2515,14.8,78,japan
23.2,4,105,2745,16.7,78,usa
23.8,4,85,2855,17.6,78,usa
23.9,4,97,2405,14.9,78,japan
17,6,125,3140,13.6,78,europe
21.6,4,115,2795,15.7,78,europe
16.2,6,133,3410,15.8,78,europe
29.5,4,68,2135,16.6,78,japan
21.5,6,115,3245,15.4,79,usa
19.8,6,85,2990,18.2,79,usa
22.3,4,88,2890,17.3,79,usa
20.2,6,90,3265,18.2,79,usa
20.6,6,110,3360,16.6,79,usa
16.5,8,138,3955,13.2,79,usa
16.9,8,155,4360,14.9,79,usa
18.5,8,150,3940,13,79,usa
31.9,4,71,1925,14,79,europe
34.1,4,65,1975,15.2,79,japan
35.7,4,80,1915,14.4,79,usa
27.4,4,80,2670,15,79,usa
25.4,5,77,3530,20.1,79,europe
23,8,125,3900,17.4,79,usa
27.2,4,71,3190,24.8,79,europe
23.9,8,90,3420,22.2,79,usa
34.5,4,70,2150,14.9,79,usa
31.8,4,65,2020,19.2,79,japan
37.3,4,69,2130,14.7,79,europe
28.4,4,90,2670,16,79,usa
28.8,6,115,2595,11.3,79,usa
26.8,6,115,2700,12.9,79,usa
33.5,4,90,2556,13.2,79,usa
41.5,4,76,2144,14.7,80,europe
38.1,4,60,1968,18.8,80,japan
32.1,4,70,2120,15.5,80,usa
37.2,4,65,2019,16.4,80,japan
28,4,90,2678,16.5,80,usa
26.4,4,88,2870,18.1,80,usa
24.3,4,90,3003,20.1,80,usa
19.1,6,90,3381,18.7,80,usa
34.3,4,78,2188,15.8,80,europe
46.6,4,65,2110,17.9,80,japan
27.9,4,105,2800,14.4,80,usa
40.8,4,65,2110,19.2,80,japan
44.3,4,48,2085,21.7,80,europe
36.4,5,67,2950,19.9,80,europe
44.6,4,67,1850,13.8,80,japan
33.8,4,67,2145,18,80,japan
29.8,4,62,1845,15.3,80,europe
32.7,6,132,2910,11.4,80,japan
23.7,3,100,2420,12.5,80,japan
35,4,88,2500,15.1,80,europe
32.4,4,72,2290,17,80,japan
27.2,4,84,2490,15.7,81,usa
26.6,4,84,2635,16.4,81,usa
30,4,84,2385,12.9,81,usa
39.1,4,58,1755,16.9,81,japan
39,4,64,1875,16.4,81,usa
35.1,4,60,1760,16.1,81,japan
34.1,4,68,1985,16,81,japan
34.7,4,63,2215,14.9,81,usa
34.4,4,65,2045,16.2,81,usa
29.9,4,65,2380,20.7,81,usa
33,4,74,2190,14.2,81,europe
33.7,4,75,2210,14.4,81,japan
32.4,4,75,2350,16.8,81,japan
30.7,6,76,3160,19.6,81,europe
25.4,6,116,2900,12.6,81,japan
24.2,6,120,2930,13.8,81,japan
22.4,6,110,3415,15.8,81,usa
26.6,8,105,3725,19,81,usa
20.2,6,88,3060,17.1,81,usa
34,4,88,2395,18,82,usa
31,4,85,2575,16.2,82,usa
24,4,92,2865,16.4,82,usa
36,4,74,1980,15.3,82,europe
37,4,68,2025,18.2,82,japan
31,4,68,1970,17.6,82,japan
38,4,63,2125,14.7,82,usa
36,4,70,2125,17.3,82,usa
36,4,88,2160,14.5,82,japan
32,4,67,1965,15.7,82,japan
38,4,67,1995,16.2,82,japan
38,6,85,3015,17,82,usa
22,6,112,2835,14.7,82,usa
32,4,96,2665,13.9,82,japan
36,4,84,2370,13,82,usa
27,4,90,2950,17.3,82,usa
44,4,52,2130,24.6,82,europe
32,4,84,2295,11.6,82,usa
31,4,82,2720,19.4,82,usa
