MOVIE,Company1_RATING,Company1_USER_RATING,Company2_RATING,Company2_USER_RATING,Company2_USER_RATING_COUNT,Company3_RATING,Company3_USER_RATING_COUNT
Movie10 (2014),71,50,69,6.1,307,6,81679
Movie64 (2015),96,65,83,7.5,551,6.9,64656
Movie84 (2014),73,52,81,7.4,286,6.7,44711
Movie99 (2014),90,69,79,7,133,7.1,32166
Movie108 (2015),83,52,76,6.7,65,6.4,17647
Movie130 (2015),89,67,78,7.1,36,6.8,11392
Movie133 (2015),81,79,77,7.9,15,7.3,5495
Movie134 (2015),80,76,64,7.9,8,7.2,1062
Movie154 (2015),99,81,91,8,21,7.2,3687
Movie160 (2015),84,73,75,7,8,7.1,1488
Movie181 (2015),84,87,68,8.5,6,7.1,950
Movie206 (2015),95,86,86,7.3,14,7.4,696
Movie17 (2015),62,64,60,5.4,52,6.3,11937
Movie23 (2015),45,65,55,7.3,177,6.7,41158
Movie28 (2015),27,66,35,3.3,126,6.7,37292
Movie60 (2015),52,81,51,7.2,72,7.4,17957
Movie143 (2015),60,60,60,6.9,20,6,4110
Movie19 (2015),92,90,75,8,362,7.8,82579
Movie96 (2015),97,91,85,8.8,60,8,5630
Movie2 (2015),71,81,59,7,1281,7.3,241807
Movie8 (2015),54,52,56,5.7,204,6.7,55895
Movie47 (2015),35,73,47,5.9,15,7,5444
Movie52 (2015),5,36,13,2.4,211,4.3,15004
Movie58 (2015),31,73,33,4.8,49,7.2,25214
Movie73 (2015),14,23,31,4.9,62,5.2,17691
Movie79 (2015),22,25,42,4.4,55,4.9,14873
Movie104 (2015),77,75,58,7.1,33,7.1,11206
Movie107 (2015),52,83,50,7.1,7,7.2,47377
Movie186 (2015),18,25,36,5.3,19,5.4,12165
Movie5 (2015),98,90,94,8.9,807,8.6,96252
Movie78 (2015),87,78,67,7.9,33,7.4,7367
Movie126 (2015),97,82,83,7.5,60,7.2,24116
Movie137 (2014),97,78,89,8.8,123,7.4,24345
Movie172 (2015),100,81,90,7.3,19,7.8,1955
Movie200 (2015),87,63,68,6.4,19,6.7,5289
